model,shots,test_accuracy
SmallCNN,1,0.09595555555555556
ResNet,1,0.17558888888888888
DenseNet121,1,0.09838888888888889
VGG16_BN,1,0.19336666666666666
SmallCNN,5,0.09983333333333333
ResNet,5,0.24745555555555557
DenseNet121,5,0.12037777777777778
VGG16_BN,5,0.23165555555555556
SmallCNN,10,0.10046666666666666
ResNet,10,0.23034444444444444
DenseNet121,10,0.09375555555555555
VGG16_BN,10,0.22513333333333332
SmallCNN,50,0.09884444444444444
ResNet,50,0.6614888888888889
DenseNet121,50,0.33357777777777775
VGG16_BN,50,0.5406111111111112
